product_name,product_rating,product_current_price,product_url
Just Dance 2024 Edition Nintendo Switch Game,"Rating 3.80004 out of 5
(40)",£25.99,https://www.argos.co.uk/product/7088214
My Universe: My Baby New Edition Nintendo Switch Game,"Rating 4.700006 out of 5
(6)",£11.99,https://www.argos.co.uk/product/5790384
Instant Sports Nintendo Switch Game,"Rating 3.700052 out of 5
(52)",£11.99,https://www.argos.co.uk/product/5793453
Overcooked! 2 Nintendo Switch Game,"Rating 4.800012 out of 5
(12)",£11.99,https://www.argos.co.uk/product/7049370
MX vs ATV All Out Nintendo Switch Game,,£11.99,https://www.argos.co.uk/product/4569602
Super Mario Bros.U Deluxe Nintendo Switch Game,"Rating 4.900561 out of 5
(561)",£37.99,https://www.argos.co.uk/product/5798575
Pokémon Scarlet Nintendo Switch Game,"Rating 4.70011 out of 5
(110)",£37.99,https://www.argos.co.uk/product/7087679
Big Brain Academy: Brain vs. Brain Nintendo Switch Game,"Rating 4.800056 out of 5
(56)",£19.99,https://www.argos.co.uk/product/4883986
LEGO DC Super-Villains Nintendo Switch Game,"Rating 4.80004 out of 5
(40)",£15.99,https://www.argos.co.uk/product/5021675
Xenoblade Chronicles 3 Nintendo Switch Game,"Rating 4.800021 out of 5
(21)",£32.99,https://www.argos.co.uk/product/6826257
Nickelodeon Kart Racers 2: Grand Prix Nintendo Switch Game,"Rating 4.600017 out of 5
(17)",£11.99,https://www.argos.co.uk/product/5811366
Kirby And The Forgotten Land Nintendo Switch Game,"Rating 4.90014 out of 5
(140)",£37.99,https://www.argos.co.uk/product/5797923
Hogwarts Legacy Nintendo Switch Game,"Rating 4.900067 out of 5
(67)",£39.99,https://www.argos.co.uk/product/3989159
Need For Speed: Hot Pursuit Remastered Nintendo Switch Game,"Rating 4.800047 out of 5
(47)",£20.99,https://www.argos.co.uk/product/5526778
Red Dead Redemption Nintendo Switch Game,"Rating 4.900016 out of 5
(16)",£32.99,https://www.argos.co.uk/product/5813027
LEGO The NINJAGO Movie Videogame Nintendo Switch Game,"Rating 5.000008 out of 5
(8)",£15.99,https://www.argos.co.uk/product/6792989
Spirit Of The North Nintendo Switch Game,"Rating 4.800009 out of 5
(9)",£11.99,https://www.argos.co.uk/product/4705507
Minecraft Dungeons: Ultimate Edition Nintendo Switch Game,"Rating 4.400005 out of 5
(5)",£27.99,https://www.argos.co.uk/product/7087435
Monster Jam Steel Titans Nintendo Switch Game,,£11.99,https://www.argos.co.uk/product/4666945
Super Mario Party Nintendo Switch Game,"Rating 4.800514 out of 5
(514)",£37.99,https://www.argos.co.uk/product/4654122
Mario & Sonic At The Olympic Games Nintendo Switch Game,"Rating 4.800368 out of 5
(368)",£37.99,https://www.argos.co.uk/product/4709242
Super Mario Maker 2 Nintendo Switch Game,"Rating 4.800323 out of 5
(323)",£37.99,https://www.argos.co.uk/product/5022076
Donkey Kong Country: Tropical Freeze Nintendo Switch Game,"Rating 4.900174 out of 5
(174)",£37.99,https://www.argos.co.uk/product/4743600
Pikmin 4 Nintendo Switch Game,"Rating 4.800044 out of 5
(44)",£37.99,https://www.argos.co.uk/product/4743617
Overcooked! Special Edition Nintendo Switch Game,"Rating 4.300016 out of 5
(16)",£11.99,https://www.argos.co.uk/product/5811830
Super Mario Party Jamboree Nintendo Switch Game Pre-Order,,£42.99,https://www.argos.co.uk/product/6751274
