product_name,product_rating,product_current_price,product_url
Astro Bot PS5 Game,,£12.99,https://www.argos.co.uk/product/5790092
Star Wars Outlaws PS5 Game,,£56.99,https://www.argos.co.uk/product/3138670
EA Sports FC 25 PS5 Game Pre-Order,,£62.99,https://www.argos.co.uk/product/2655697
Warhammer 40000: Space Marine 2 PS5 Game,,£46.99,https://www.argos.co.uk/product/4581453
Call Of Duty: Black Ops 6 PS5 Game Pre-Order,,£57.99,https://www.argos.co.uk/product/6790053
NBA 2K25 PS5 Game,,£57.99,https://www.argos.co.uk/product/4017673
Cyberpunk 2077 Ultimate Edition PS5 Game,"Rating 4.700012 out of 5
(12)",£42.99,https://www.argos.co.uk/product/3989348
Horizon Forbidden West PS5 Game,"Rating 5.000001 out of 5
(1)",£47.99,https://www.argos.co.uk/product/9459779
God Of War Ragnarok PS5 Game,"Rating 4.900188 out of 5
(188)",£59.99,https://www.argos.co.uk/product/7129609
Grand Theft Auto V PS5 Game,"Rating 4.900075 out of 5
(75)",£19.99,https://www.argos.co.uk/product/5814899
Funko Fusion PS5 Game,,£44.99,https://www.argos.co.uk/product/3030826
Gran Turismo 7 PS5 Game,"Rating 4.800195 out of 5
(195)",£59.99,https://www.argos.co.uk/product/4885960
Call of Duty: Black Ops Cold War PS5 Game,"Rating 4.700145 out of 5
(145)",£21.99,https://www.argos.co.uk/product/4658063
Elden Ring PS5 Game,"Rating 4.800072 out of 5
(72)",£43.99,https://www.argos.co.uk/product/7127340
Marvel's Spider-Man 2 PS5 Game,"Rating 4.900256 out of 5
(256)",£58.99,https://www.argos.co.uk/product/4655729
EA SPORTS FC 24 PS5 Game,"Rating 4.700126 out of 5
(126)",£20.99,https://www.argos.co.uk/product/5029794
Call of Duty: Modern Warfare III PS5 Game,"Rating 4.700108 out of 5
(108)",£58.99,https://www.argos.co.uk/product/4749219
The Crew Motorfest PS5 Game,"Rating 4.700011 out of 5
(11)",£29.99,https://www.argos.co.uk/product/7088733
Elden Ring Shadow Of The Erdtree Edition PS5 Game,"Rating 5.000002 out of 5
(2)",£59.99,https://www.argos.co.uk/product/5647011
Undisputed PS5 Game Pre-Order,,£44.99,https://www.argos.co.uk/product/5829671
Test Drive Unlimited Solar Crown PS5 Game,,£38.99,https://www.argos.co.uk/product/4030052
Harry Potter: Quidditch Champions Dlx Ed PS4 Game Pre-Order,,£29.99,https://www.argos.co.uk/product/4017336
Ghost Of Tsushima: Director's Cut PS5 Game,"Rating 4.900135 out of 5
(135)",£59.99,https://www.argos.co.uk/product/5793673
Helldivers 2 PS5 Game,"Rating 4.800089 out of 5
(89)",£29.99,https://www.argos.co.uk/product/4163778
Stellar Blade PS5 Game,"Rating 4.900028 out of 5
(28)",£59.99,https://www.argos.co.uk/product/4191908
The Last Of Us Part II Remastered PS5 Game,"Rating 5.000024 out of 5
(24)",£37.99,https://www.argos.co.uk/product/4889863
Persona 3 Reload PS5 Game,"Rating 4.800005 out of 5
(5)",£49.99,https://www.argos.co.uk/product/3417999
EA SPORTS WRC PS5 Game,"Rating 4.800004 out of 5
(4)",£20.99,https://www.argos.co.uk/product/6266109
EA SPORTS UFC 5 PS5 Game,"Rating 3.900013 out of 5
(13)",£37.99,https://www.argos.co.uk/product/6823140
TIEBREAK: Official game of the ATP & WTA PS5 Game,,£39.99,https://www.argos.co.uk/product/4161660
Silent Hill 2 PS5 Game Pre-Order,,£54.99,https://www.argos.co.uk/product/3630848
Madden NFL 25 PS5 Game,"Rating 2.000001 out of 5
(1)",£59.99,https://www.argos.co.uk/product/4748069
Hogwarts Legacy PS5 Game,"Rating 4.800239 out of 5
(239)",£38.99,https://www.argos.co.uk/product/7042920
UNCHARTED: Legacy Of Thieves Collection Remastered PS5 Game,"Rating 4.90006 out of 5
(60)",£36.99,https://www.argos.co.uk/product/6823470
Stray PS5 Game,"Rating 4.900024 out of 5
(24)",£18.99,https://www.argos.co.uk/product/5947319
Prince Of Persia: The Lost Crown PS5 Game,"Rating 4.300007 out of 5
(7)",£21.99,https://www.argos.co.uk/product/3989465
Goat Simulator 3 Pre-Udder Edition PS5 Game,"Rating 5.000002 out of 5
(2)",£24.99,https://www.argos.co.uk/product/6796318
Suicide Squad: Kill The Justice League PS5 Game,"Rating 3.900008 out of 5
(8)",£19.99,https://www.argos.co.uk/product/7042724
Marvel's Spider-Man Miles Morales Ultimate Edition PS5 Game,"Rating 4.900134 out of 5
(134)",£59.99,https://www.argos.co.uk/product/5820106
Star Wars Jedi: Survivor PS5 Game,"Rating 4.700091 out of 5
(91)",£58.99,https://www.argos.co.uk/product/5664197
Resident Evil 4 Remake Standard Edition PS5 Game,"Rating 4.900052 out of 5
(52)",£26.99,https://www.argos.co.uk/product/3989609
WWE 2K24 PS5 Game,"Rating 4.900017 out of 5
(17)",£29.99,https://www.argos.co.uk/product/4355139
PGA TOUR 2K23 PS5 Game,"Rating 5.000012 out of 5
(12)",£17.99,https://www.argos.co.uk/product/4884686
Diablo IV PS5 Game,"Rating 4.700011 out of 5
(11)",£29.99,https://www.argos.co.uk/product/4636157
Sonic Superstars PS5 Game,"Rating 4.800009 out of 5
(9)",£28.99,https://www.argos.co.uk/product/6825928
EA SPORTS F1 24 PS5 Game,"Rating 4.800008 out of 5
(8)",£58.99,https://www.argos.co.uk/product/5020944
NBA 2K24 PS5 Game,"Rating 4.900007 out of 5
(7)",£19.99,https://www.argos.co.uk/product/6797506
Football Manager 2024 Console PS5 Game,"Rating 4.500004 out of 5
(4)",£22.50,https://www.argos.co.uk/product/7047688
Ark: Survival Ascended PS5 Game,"Rating 5.000002 out of 5
(2)",£36.99,https://www.argos.co.uk/product/5255283
Nickelodeon Kart Racers 3: Slime Speedway PS5 Game,"Rating 4.300003 out of 5
(3)",£13.99,https://www.argos.co.uk/product/6790651
Minecraft Legends Deluxe Edition PS5 Game,"Rating 5.000001 out of 5
(1)",£38.99,https://www.argos.co.uk/product/7149373
Like A Dragon: Infinite Wealth PS5 Game,"Rating 5.000001 out of 5
(1)",£49.99,https://www.argos.co.uk/product/3990014
Taxi Life: A City Driving Simulator PS5 Game,"Rating 5.000001 out of 5
(1)",£27.99,https://www.argos.co.uk/product/3631964
Rise Of The Ronin PS5 Game,"Rating 4.000009 out of 5
(9)",£59.99,https://www.argos.co.uk/product/3416615
CATAN - Console Edition PS5 Game,,£11.99,https://www.argos.co.uk/product/7040843
Assassin's Creed Shadows PS5 Game Pre-Order,,£56.99,https://www.argos.co.uk/product/5799938
Sonic X Shadow Generations PS5 Game Pre-Order,,£39.99,https://www.argos.co.uk/product/2151074
Marvel's Spider-Man Miles Morales PS5 Game,"Rating 4.900173 out of 5
(173)",£44.99,https://www.argos.co.uk/product/5811270
The Last Of Us Part I PS5 Game,"Rating 4.900087 out of 5
(87)",£59.99,https://www.argos.co.uk/product/6820095
Assassin's Creed Valhalla PS5 Game,"Rating 4.800111 out of 5
(111)",£16.99,https://www.argos.co.uk/product/6791351
FIFA 23 PS5 Game,"Rating 4.800091 out of 5
(91)",£10.00,https://www.argos.co.uk/product/1243505
Ratchet & Clank: Rift Apart PS5 Game,"Rating 4.800069 out of 5
(69)",£59.99,https://www.argos.co.uk/product/5028180
Dead Space PS5 Game,"Rating 4.900044 out of 5
(44)",£46.99,https://www.argos.co.uk/product/5641000
Mortal Kombat 11 Ultimate PS5 Game,"Rating 4.800043 out of 5
(43)",£19.99,https://www.argos.co.uk/product/7123131
Final Fantasy XVI PS5 Game,"Rating 4.70005 out of 5
(50)",£39.99,https://www.argos.co.uk/product/7145377
LEGO Star Wars: The Skywalker Saga PS5 Game,"Rating 4.800039 out of 5
(39)",£15.99,https://www.argos.co.uk/product/4650906
Dead Island 2: Day One Edition PS5 Game,"Rating 4.800036 out of 5
(36)",£28.99,https://www.argos.co.uk/product/6791557
Final Fantasy VII: Rebirth Standard Edition PS5 Game,"Rating 4.900028 out of 5
(28)",£58.99,https://www.argos.co.uk/product/3417982
Far Cry 6 PS5 Game,"Rating 4.500067 out of 5
(67)",£16.99,https://www.argos.co.uk/product/5794490
Mortal Kombat 1 PS5 Game,"Rating 4.700035 out of 5
(35)",£29.99,https://www.argos.co.uk/product/4841959
Need For Speed Unbound PS5 Game,"Rating 4.900022 out of 5
(22)",£20.99,https://www.argos.co.uk/product/6295132
Assassin's Creed Mirage PS5 Game,"Rating 4.500047 out of 5
(47)",£28.99,https://www.argos.co.uk/product/4845412
Crisis Core: Final Fantasy VII Reunion PS5 Game,"Rating 4.800021 out of 5
(21)",£21.99,https://www.argos.co.uk/product/7128875
Street Fighter 6 PS5 Game,"Rating 4.900016 out of 5
(16)",£22.99,https://www.argos.co.uk/product/3989496
