id,product_name,product_rating,product_current_price,product_old_price,product_url,updated_at
1,Astro Bot PS5 Game,,£12.99,null,https://www.argos.co.uk/product/5790092,1726412326434
2,Star Wars Outlaws PS5 Game,,£56.99,null,https://www.argos.co.uk/product/3138670,1726412326491
3,EA Sports FC 25 PS5 Game Pre-Order,,£62.99,null,https://www.argos.co.uk/product/2655697,1726412326545
4,Warhammer 40000: Space Marine 2 PS5 Game,,£46.99,null,https://www.argos.co.uk/product/4581453,1726412326601
5,Call Of Duty: Black Ops 6 PS5 Game Pre-Order,,£57.99,null,https://www.argos.co.uk/product/6790053,1726412326636
6,NBA 2K25 PS5 Game,,£57.99,null,https://www.argos.co.uk/product/4017673,1726412326675
7,Cyberpunk 2077 Ultimate Edition PS5 Game,"Rating 4.700012 out of 5
(12)",£42.99,null,https://www.argos.co.uk/product/3989348,1726412326721
8,Horizon Forbidden West PS5 Game,"Rating 5.000001 out of 5
(1)",£47.99,null,https://www.argos.co.uk/product/9459779,1726412326759
9,God Of War Ragnarok PS5 Game,"Rating 4.900188 out of 5
(188)",£59.99,null,https://www.argos.co.uk/product/7129609,1726412326797
10,Grand Theft Auto V PS5 Game,"Rating 4.900075 out of 5
(75)",£19.99,null,https://www.argos.co.uk/product/5814899,1726412326840
11,Funko Fusion PS5 Game,,£44.99,null,https://www.argos.co.uk/product/3030826,1726412326879
12,Gran Turismo 7 PS5 Game,"Rating 4.800195 out of 5
(195)",£59.99,null,https://www.argos.co.uk/product/4885960,1726412326921
13,Call of Duty: Black Ops Cold War PS5 Game,"Rating 4.700145 out of 5
(145)",£21.99,null,https://www.argos.co.uk/product/4658063,1726412326972
14,Elden Ring PS5 Game,"Rating 4.800072 out of 5
(72)",£43.99,null,https://www.argos.co.uk/product/7127340,1726412327013
15,Marvel's Spider-Man 2 PS5 Game,"Rating 4.900256 out of 5
(256)",£58.99,null,https://www.argos.co.uk/product/4655729,1726412327048
16,EA SPORTS FC 24 PS5 Game,"Rating 4.700126 out of 5
(126)",£20.99,null,https://www.argos.co.uk/product/5029794,1726412327081
17,Call of Duty: Modern Warfare III PS5 Game,"Rating 4.700108 out of 5
(108)",£58.99,null,https://www.argos.co.uk/product/4749219,1726412327127
18,The Crew Motorfest PS5 Game,"Rating 4.700011 out of 5
(11)",£29.99,null,https://www.argos.co.uk/product/7088733,1726412327165
19,Elden Ring Shadow Of The Erdtree Edition PS5 Game,"Rating 5.000002 out of 5
(2)",£59.99,null,https://www.argos.co.uk/product/5647011,1726412327202
20,Undisputed PS5 Game Pre-Order,,£44.99,null,https://www.argos.co.uk/product/5829671,1726412327232
21,Test Drive Unlimited Solar Crown PS5 Game,,£38.99,null,https://www.argos.co.uk/product/4030052,1726412327277
22,Harry Potter: Quidditch Champions Dlx Ed PS4 Game Pre-Order,,£29.99,null,https://www.argos.co.uk/product/4017336,1726412327313
23,Ghost Of Tsushima: Director's Cut PS5 Game,"Rating 4.900135 out of 5
(135)",£59.99,null,https://www.argos.co.uk/product/5793673,1726412327369
24,Helldivers 2 PS5 Game,"Rating 4.800089 out of 5
(89)",£29.99,null,https://www.argos.co.uk/product/4163778,1726412327417
25,Stellar Blade PS5 Game,"Rating 4.900028 out of 5
(28)",£59.99,null,https://www.argos.co.uk/product/4191908,1726412327466
26,The Last Of Us Part II Remastered PS5 Game,"Rating 5.000024 out of 5
(24)",£37.99,null,https://www.argos.co.uk/product/4889863,1726412327509
27,Persona 3 Reload PS5 Game,"Rating 4.800005 out of 5
(5)",£49.99,null,https://www.argos.co.uk/product/3417999,1726412327551
28,EA SPORTS WRC PS5 Game,"Rating 4.800004 out of 5
(4)",£20.99,null,https://www.argos.co.uk/product/6266109,1726412327592
29,EA SPORTS UFC 5 PS5 Game,"Rating 3.900013 out of 5
(13)",£37.99,null,https://www.argos.co.uk/product/6823140,1726412327661
30,TIEBREAK: Official game of the ATP & WTA PS5 Game,,£39.99,null,https://www.argos.co.uk/product/4161660,1726412327741
31,Silent Hill 2 PS5 Game Pre-Order,,£54.99,null,https://www.argos.co.uk/product/3630848,1726412327818
32,Madden NFL 25 PS5 Game,"Rating 2.000001 out of 5
(1)",£59.99,null,https://www.argos.co.uk/product/4748069,1726412327891
33,Hogwarts Legacy PS5 Game,"Rating 4.800239 out of 5
(239)",£38.99,null,https://www.argos.co.uk/product/7042920,1726412327957
34,UNCHARTED: Legacy Of Thieves Collection Remastered PS5 Game,"Rating 4.90006 out of 5
(60)",£36.99,null,https://www.argos.co.uk/product/6823470,1726412327990
35,Stray PS5 Game,"Rating 4.900024 out of 5
(24)",£18.99,null,https://www.argos.co.uk/product/5947319,1726412328021
36,Prince Of Persia: The Lost Crown PS5 Game,"Rating 4.300007 out of 5
(7)",£21.99,null,https://www.argos.co.uk/product/3989465,1726412328060
37,Goat Simulator 3 Pre-Udder Edition PS5 Game,"Rating 5.000002 out of 5
(2)",£24.99,null,https://www.argos.co.uk/product/6796318,1726412328094
38,Suicide Squad: Kill The Justice League PS5 Game,"Rating 3.900008 out of 5
(8)",£19.99,null,https://www.argos.co.uk/product/7042724,1726412328127
39,Marvel's Spider-Man Miles Morales Ultimate Edition PS5 Game,"Rating 4.900134 out of 5
(134)",£59.99,null,https://www.argos.co.uk/product/5820106,1726412328165
40,Star Wars Jedi: Survivor PS5 Game,"Rating 4.700091 out of 5
(91)",£58.99,null,https://www.argos.co.uk/product/5664197,1726412328197
41,Resident Evil 4 Remake Standard Edition PS5 Game,"Rating 4.900052 out of 5
(52)",£26.99,null,https://www.argos.co.uk/product/3989609,1726412328239
42,WWE 2K24 PS5 Game,"Rating 4.900017 out of 5
(17)",£29.99,null,https://www.argos.co.uk/product/4355139,1726412328288
43,PGA TOUR 2K23 PS5 Game,"Rating 5.000012 out of 5
(12)",£17.99,null,https://www.argos.co.uk/product/4884686,1726412328330
44,Diablo IV PS5 Game,"Rating 4.700011 out of 5
(11)",£29.99,null,https://www.argos.co.uk/product/4636157,1726412328382
45,Sonic Superstars PS5 Game,"Rating 4.800009 out of 5
(9)",£28.99,null,https://www.argos.co.uk/product/6825928,1726412328472
46,EA SPORTS F1 24 PS5 Game,"Rating 4.800008 out of 5
(8)",£58.99,null,https://www.argos.co.uk/product/5020944,1726412328578
47,NBA 2K24 PS5 Game,"Rating 4.900007 out of 5
(7)",£19.99,null,https://www.argos.co.uk/product/6797506,1726412328632
48,Football Manager 2024 Console PS5 Game,"Rating 4.500004 out of 5
(4)",£22.50,null,https://www.argos.co.uk/product/7047688,1726412328680
49,Ark: Survival Ascended PS5 Game,"Rating 5.000002 out of 5
(2)",£36.99,null,https://www.argos.co.uk/product/5255283,1726412328718
50,Nickelodeon Kart Racers 3: Slime Speedway PS5 Game,"Rating 4.300003 out of 5
(3)",£13.99,null,https://www.argos.co.uk/product/6790651,1726412328758
51,Minecraft Legends Deluxe Edition PS5 Game,"Rating 5.000001 out of 5
(1)",£38.99,null,https://www.argos.co.uk/product/7149373,1726412328795
52,Like A Dragon: Infinite Wealth PS5 Game,"Rating 5.000001 out of 5
(1)",£49.99,null,https://www.argos.co.uk/product/3990014,1726412328833
53,Taxi Life: A City Driving Simulator PS5 Game,"Rating 5.000001 out of 5
(1)",£27.99,null,https://www.argos.co.uk/product/3631964,1726412328873
54,Rise Of The Ronin PS5 Game,"Rating 4.000009 out of 5
(9)",£59.99,null,https://www.argos.co.uk/product/3416615,1726412328926
55,CATAN - Console Edition PS5 Game,,£11.99,null,https://www.argos.co.uk/product/7040843,1726412328979
56,Assassin's Creed Shadows PS5 Game Pre-Order,,£56.99,null,https://www.argos.co.uk/product/5799938,1726412329020
